,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
335,M,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34,18
336,M,0.58,0.47,0.165,1.041,0.54,0.166,0.27899999999999997,9
337,F,0.505,0.39,0.125,0.5445,0.24600000000000002,0.15,0.1405,7
338,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
339,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
340,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
341,F,0.535,0.42,0.15,0.7365,0.2785,0.18600000000000003,0.215,14
342,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
343,F,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15
344,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
345,I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
346,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
347,F,0.605,0.455,0.145,0.862,0.33399999999999996,0.1985,0.3,9
348,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.45299999999999996,15
349,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
350,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
351,I,0.385,0.3,0.09,0.308,0.1525,0.055999999999999994,0.0835,8
352,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
353,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
354,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
355,F,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,9
356,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
357,F,0.45,0.325,0.135,0.43799999999999994,0.1805,0.1165,0.11,9
358,F,0.405,0.31,0.12,0.3095,0.138,0.057999999999999996,0.095,13
359,M,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
360,I,0.575,0.45,0.135,0.807,0.3615,0.17600000000000002,0.254,10
361,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
362,I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6
363,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
364,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
365,F,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12
366,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
367,M,0.465,0.355,0.12,0.5315,0.2725,0.09699999999999999,0.1395,8
368,M,0.705,0.56,0.22,1.9809999999999999,0.8175,0.3085,0.76,14
369,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
370,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
371,I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
372,M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.22699999999999998,9
373,M,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,15
374,M,0.5,0.385,0.145,0.7615,0.24600000000000002,0.195,0.204,14
375,M,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314,10
376,M,0.585,0.47,0.165,1.409,0.8,0.22899999999999998,0.295,10
377,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7
378,I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998,8
379,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9
380,F,0.55,0.425,0.125,0.9640000000000001,0.5475,0.159,0.215,8
381,F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
382,M,0.57,0.45,0.135,1.02,0.546,0.204,0.25,9
383,M,0.485,0.365,0.155,1.0290000000000001,0.4235,0.2285,0.313,8
384,F,0.435,0.325,0.11,0.4335,0.17800000000000002,0.0985,0.155,7
385,F,0.61,0.46,0.155,0.9570000000000001,0.4255,0.1975,0.265,8
386,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10
387,F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8
388,M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
389,F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13
390,M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
391,F,0.575,0.47,0.155,1.1159999999999999,0.509,0.23800000000000002,0.34,10
392,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
393,F,0.59,0.44,0.14,1.0070000000000001,0.4775,0.2105,0.2925,9
394,F,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,14
395,M,0.315,0.25,0.09,0.203,0.0615,0.037000000000000005,0.0795,11
396,M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,14
397,F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175,13
398,M,0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
399,F,0.605,0.46,0.17,1.122,0.34700000000000003,0.3045,0.315,13
400,F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353,9
401,I,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6
402,F,0.68,0.56,0.195,1.6640000000000001,0.58,0.3855,0.545,11
403,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
404,I,0.335,0.26,0.085,0.192,0.09699999999999999,0.03,0.054000000000000006,6
405,F,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9
406,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
407,I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
408,M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12
409,F,0.605,0.455,0.145,0.9775,0.46799999999999997,0.1775,0.275,9
410,F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13
411,M,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10
412,I,0.49,0.375,0.125,0.5445,0.27899999999999997,0.115,0.13,8
413,F,0.475,0.38,0.145,0.57,0.16699999999999998,0.11800000000000001,0.187,11
414,M,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,7
415,F,0.635,0.525,0.18,1.3695,0.634,0.318,0.363,11
416,M,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9
417,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
418,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
419,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10
420,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
421,M,0.575,0.455,0.135,0.907,0.4245,0.19699999999999998,0.26,9
422,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
423,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
424,I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
425,F,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,12
426,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13
427,I,0.52,0.395,0.125,0.5805,0.2445,0.146,0.165,9
428,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.08900000000000001,7
429,I,0.52,0.4,0.14,0.622,0.278,0.1455,0.16899999999999998,8
430,I,0.29,0.225,0.07,0.10099999999999999,0.036000000000000004,0.0235,0.035,8
431,M,0.6,0.47,0.155,1.036,0.4375,0.196,0.325,20
432,M,0.535,0.435,0.15,0.7170000000000001,0.3475,0.1445,0.19399999999999998,9
433,M,0.47,0.37,0.105,0.4665,0.2025,0.1015,0.155,10
434,M,0.61,0.49,0.15,1.103,0.425,0.2025,0.36,23
435,I,0.485,0.345,0.16,0.8690000000000001,0.3085,0.185,0.319,9
436,M,0.57,0.455,0.15,0.9520000000000001,0.3895,0.2155,0.2745,9
437,M,0.6,0.465,0.2,1.2590000000000001,0.6405,0.1985,0.35700000000000004,9
438,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
439,M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
440,M,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28,12
441,F,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
442,M,0.66,0.535,0.2,1.791,0.733,0.318,0.54,15
443,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11
444,M,0.635,0.48,0.19,1.4669999999999999,0.5825,0.303,0.42,15
445,I,0.55,0.44,0.165,0.8605,0.312,0.16899999999999998,0.3,17
446,I,0.605,0.47,0.14,0.9390000000000001,0.3385,0.201,0.32,13
447,I,0.385,0.28,0.085,0.2175,0.09699999999999999,0.038,0.067,8
448,F,0.66,0.53,0.17,1.431,0.622,0.309,0.39799999999999996,10
449,I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
450,I,0.255,0.185,0.06,0.08800000000000001,0.0365,0.021,0.023,5
451,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
452,I,0.375,0.3,0.075,0.14400000000000002,0.059000000000000004,0.03,0.044000000000000004,7
453,I,0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
454,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
455,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7
456,I,0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,11
457,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9
458,F,0.625,0.47,0.145,0.9840000000000001,0.475,0.2,0.265,11
459,F,0.62,0.52,0.225,1.1835,0.37799999999999995,0.27,0.395,23
460,F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
461,I,0.25,0.185,0.065,0.0685,0.0295,0.013999999999999999,0.0225,5
462,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
463,M,0.735,0.57,0.21,2.2355,1.1705,0.46299999999999997,0.5315,10
464,F,0.625,0.515,0.155,1.1635,0.4875,0.259,0.355,11
465,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
466,M,0.57,0.42,0.14,0.8745,0.41600000000000004,0.165,0.25,8
467,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
468,I,0.295,0.21,0.08,0.1,0.038,0.026000000000000002,0.031,8
469,M,0.63,0.485,0.165,1.2329999999999999,0.6565,0.2315,0.3035,10
470,I,0.475,0.35,0.11,0.4565,0.20600000000000002,0.099,0.13,6
471,M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.14300000000000002,7
472,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
473,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
474,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
475,M,0.51,0.415,0.145,0.7509999999999999,0.3295,0.1835,0.203,8
476,M,0.58,0.45,0.155,0.8275,0.321,0.1975,0.2445,8
477,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
478,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
479,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
480,I,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6
481,F,0.575,0.45,0.12,0.9585,0.447,0.16899999999999998,0.275,12
482,M,0.55,0.44,0.16,0.991,0.348,0.168,0.375,20
483,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
484,M,0.615,0.47,0.15,1.0875,0.4975,0.28300000000000003,0.2685,9
485,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
486,M,0.52,0.465,0.15,0.9505,0.456,0.19899999999999998,0.255,8
487,M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
488,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
489,M,0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
490,F,0.67,0.53,0.205,1.4015,0.643,0.2465,0.41600000000000004,12
491,I,0.495,0.375,0.115,0.507,0.24100000000000002,0.10300000000000001,0.15,8
492,F,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9
493,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
494,F,0.63,0.48,0.165,1.2615,0.5505,0.27699999999999997,0.3885,10
495,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14
496,I,0.595,0.475,0.155,0.9840000000000001,0.4865,0.184,0.2755,10
497,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
498,F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
499,F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11
500,I,0.435,0.355,0.125,0.4075,0.1535,0.07400000000000001,0.165,9
501,M,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115,8
502,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
503,M,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41,17
504,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
505,M,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
506,M,0.5,0.38,0.125,0.5770000000000001,0.26899999999999996,0.1265,0.1535,9
507,I,0.395,0.29,0.095,0.319,0.138,0.08,0.08199999999999999,7
508,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
509,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
510,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
511,F,0.625,0.525,0.195,1.3519999999999999,0.4505,0.2445,0.53,13
512,M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8
513,I,0.335,0.25,0.08,0.16699999999999998,0.0675,0.0325,0.0575,6
514,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
515,M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
516,M,0.48,0.375,0.12,0.5895,0.2535,0.128,0.172,11
517,F,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14
518,M,0.46,0.375,0.135,0.4935,0.18600000000000003,0.0845,0.17,12
519,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
520,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
521,I,0.5,0.365,0.125,0.528,0.22899999999999998,0.10300000000000001,0.1645,9
522,M,0.385,0.255,0.1,0.3175,0.13699999999999998,0.068,0.092,8
523,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125,10
524,M,0.67,0.5,0.19,1.5190000000000001,0.616,0.38799999999999996,0.415,10
525,M,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,13
526,I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7
527,M,0.6,0.475,0.19,1.0875,0.40299999999999997,0.2655,0.325,14
528,M,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315,11
529,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10
530,I,0.54,0.415,0.135,0.7090000000000001,0.3195,0.174,0.185,9
531,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
532,F,0.545,0.385,0.15,1.1185,0.5425,0.2445,0.2845,9
533,F,0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.29100000000000004,11
534,M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11
535,M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,14
536,I,0.405,0.305,0.1,0.271,0.0965,0.061,0.091,7
537,F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
538,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
539,I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8
540,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
541,F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
542,M,0.635,0.51,0.185,1.308,0.544,0.318,0.377,8
543,I,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
544,I,0.16,0.11,0.025,0.018000000000000002,0.0065,0.0055,0.005,3
545,M,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
546,F,0.445,0.33,0.105,0.4525,0.18,0.10300000000000001,0.12300000000000001,9
547,F,0.71,0.54,0.205,1.5805,0.802,0.287,0.435,10
548,F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
549,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
550,M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
551,F,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
552,I,0.465,0.37,0.115,0.534,0.261,0.098,0.14300000000000002,7
553,M,0.54,0.41,0.145,0.9890000000000001,0.2815,0.213,0.355,19
554,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
555,I,0.25,0.18,0.06,0.073,0.027999999999999997,0.017,0.0225,5
556,M,0.735,0.59,0.215,1.7469999999999999,0.7275,0.40299999999999997,0.557,11
557,F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11
558,M,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10
559,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9
560,I,0.345,0.285,0.1,0.2225,0.0865,0.057999999999999996,0.075,8
561,M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
562,F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,21
563,M,0.61,0.48,0.17,1.137,0.4565,0.29,0.34700000000000003,10
564,M,0.32,0.24,0.08,0.18,0.08,0.0385,0.055,6
565,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10
566,I,0.485,0.365,0.105,0.5205,0.195,0.12300000000000001,0.182,8
567,F,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9
568,I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
569,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11
570,F,0.55,0.45,0.15,0.875,0.36200000000000004,0.1755,0.2765,10
571,F,0.48,0.39,0.125,0.6905,0.21899999999999997,0.155,0.2,12
572,F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37,14
573,F,0.645,0.52,0.18,1.285,0.5775,0.35200000000000004,0.317,9
574,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
575,I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.013999999999999999,3
576,M,0.64,0.51,0.17,1.3715,0.5670000000000001,0.307,0.409,10
577,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
578,I,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8
579,I,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10
580,I,0.36,0.275,0.095,0.217,0.084,0.0435,0.09,7
581,M,0.475,0.375,0.12,0.563,0.2525,0.1205,0.185,10
582,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
583,F,0.625,0.49,0.165,1.127,0.47700000000000004,0.2365,0.3185,9
584,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
585,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
586,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
587,F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47,15
588,F,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255,14
589,M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
590,M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
591,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
592,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8
593,M,0.77,0.6,0.215,2.1945,1.0515,0.48200000000000004,0.584,10
594,I,0.2,0.145,0.025,0.0345,0.011000000000000001,0.0075,0.01,5
595,I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
596,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
597,I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
598,M,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,15
599,M,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265,11
600,I,0.355,0.275,0.09,0.251,0.09699999999999999,0.053,0.08,7
601,M,0.345,0.255,0.08,0.16899999999999998,0.06,0.0425,0.054000000000000006,10
602,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7
603,M,0.515,0.395,0.135,1.0070000000000001,0.47200000000000003,0.2495,0.252,8
604,I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
605,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
606,M,0.615,0.45,0.15,1.198,0.7070000000000001,0.2095,0.2505,7
607,M,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685,15
608,I,0.57,0.435,0.17,0.848,0.4,0.166,0.25,9
609,M,0.525,0.41,0.165,0.8005,0.2635,0.1985,0.25,13
610,M,0.55,0.425,0.15,0.8315,0.41100000000000003,0.1765,0.2165,10
611,I,0.225,0.17,0.07,0.0565,0.024,0.013000000000000001,0.016,4
612,F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10
613,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
614,M,0.75,0.595,0.205,2.2205,1.083,0.42100000000000004,0.63,12
615,M,0.63,0.495,0.16,1.093,0.49700000000000005,0.221,0.315,12
616,I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
617,I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
618,I,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
619,I,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
620,M,0.5,0.4,0.145,0.6025,0.21600000000000003,0.138,0.21,11
621,M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
622,I,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
623,I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
624,I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
625,I,0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
626,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7
627,F,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39,14
628,M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6
629,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8
630,I,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10
631,M,0.495,0.38,0.12,0.474,0.19699999999999998,0.1065,0.1545,10
632,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
633,F,0.655,0.455,0.17,1.2895,0.5870000000000001,0.3165,0.3415,11
634,M,0.445,0.32,0.12,0.414,0.19899999999999998,0.09,0.11699999999999999,7
635,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026000000000000002,4
636,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
637,I,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075,11
638,I,0.465,0.375,0.12,0.47100000000000003,0.222,0.11900000000000001,0.14,9
639,F,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20
640,M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
641,I,0.42,0.33,0.1,0.35200000000000004,0.1635,0.08900000000000001,0.1,9
642,F,0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
643,F,0.62,0.48,0.18,1.2215,0.5820000000000001,0.2695,0.313,12
644,F,0.605,0.495,0.19,1.4369999999999998,0.469,0.2655,0.41,15
645,I,0.525,0.405,0.15,0.795,0.3075,0.205,0.255,14
646,F,0.66,0.535,0.175,1.5175,0.711,0.3125,0.415,12
647,I,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
648,M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.32299999999999995,8
649,M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
650,M,0.625,0.485,0.17,1.4369999999999998,0.5855,0.293,0.475,11
651,F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
652,F,0.56,0.425,0.125,0.932,0.361,0.213,0.335,9
653,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
654,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16
655,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
656,F,0.675,0.535,0.185,1.5575,0.7035,0.402,0.4,11
657,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
658,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
659,F,0.575,0.465,0.175,1.099,0.4735,0.20199999999999999,0.35,9
660,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
661,F,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10
662,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
663,F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
664,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
